도메인,역할,회사명,국가,이메일(로그인),비밀번호,담당자,전화
철강,제조사,한결제강 주식회사,KR,hj.wi@hangyeolsteel.co.kr,Demo1234!,위혜진,041-719-3450
철강,제조사,서해특수강 주식회사,KR,ju.kim@seohaess.co.kr,Demo1234!,김준우,063-596-8856
철강,제조사,동림스틸 주식회사,KR,jh.son@donglimsteel.co.kr,Demo1234!,손재현,061-262-1838
철강,제조사,태영후판 주식회사,KR,ms.sun@typlate.co.kr,Demo1234!,선명수,054-360-4536
철강,제조사,금산강판 주식회사,KR,sa.myung@geumsancs.co.kr,Demo1234!,명수아,032-319-8701
철강,제조사,미래제철 주식회사,KR,mj.yu@miraeis.co.kr,Demo1234!,유민준,055-819-8511
철강,제조사,청솔스틸 주식회사,KR,ja.park@cheongsolsteel.co.kr,Demo1234!,박지아,051-634-4763
철강,제조사,대원선재 주식회사,KR,yj.chun@daewonwr.co.kr,Demo1234!,천용준,052-332-4339
철강,제조사,우성강재 주식회사,KR,yj.yu@wooseongsm.co.kr,Demo1234!,유용준,052-742-8642
철강,제조사,한빛메탈 주식회사,KR,ys.song@hanvitmetal.co.kr,Demo1234!,송윤서,031-792-2956
철강,협력사(원자재),경인자원 주식회사,KR,mj.lee@gyeonginres.co.kr,Demo1234!,이민준,032-782-4482
철강,협력사(원자재),남부스크랩 주식회사,KR,ja.jeon@nambuscrap.co.kr,Demo1234!,전지아,051-535-8508
철강,협력사(원자재),영남철원 주식회사,KR,ty.lee@yniron.co.kr,Demo1234!,이태윤,054-772-4419
철강,협력사(원자재),대광합금철 주식회사,KR,hj.ji@dgferro.co.kr,Demo1234!,지혜진,041-419-8017
철강,협력사(원자재),삼정석회 주식회사,KR,sy.heo@samjunglime.co.kr,Demo1234!,허서연,052-325-6116
철강,협력사(원자재),한우리코크스 주식회사,KR,jy.koo@hanwooricoke.co.kr,Demo1234!,구지윤,061-818-3168
철강,협력사(원자재),Pilgrim Ore Trading Pty Ltd,AU,l.walker@pilgrimore.com.au,Demo1234!,Liam Walker,+61 8 6143 2270
철강,협력사(원자재),Minas Serrana Mineração Ltda,BR,r.souza@minasserrana.com.br,Demo1234!,Rafael Souza,+55 31 3517 4410
철강,협력사(원자재),"Kitakami Alloy Co., Ltd.",JP,h.sato@kitakami-alloy.co.jp,Demo1234!,Haruto Sato,+81 197 61 3380
철강,협력사(시험·인증),한국소재시험연구원,KR,sm.kim@ksmr.re.kr,Demo1234!,김성민,054-263-5706
철강,협력사(시험·인증),대한금속분석센터 주식회사,KR,yj.bae@dmac.co.kr,Demo1234!,배유진,055-897-4231
철강,협력사(시험·인증),그린카본검증원 주식회사,KR,he.lee@greencarbonv.co.kr,Demo1234!,이하은,02-483-3435
철강,협력사(시험·인증),Nordprüf Materialtechnik GmbH,DE,j.becker@nordpruef.de,Demo1234!,Jonas Becker,+49 203 7289 410
철강,협력사(시험·인증),Carbonis Verification B.V.,NL,d.devries@carbonis.nl,Demo1234!,Daan de Vries,+31 10 750 3310
철강,협력사(시험·인증),한빛인증원 주식회사,KR,sy.kim@hanbitcert.co.kr,Demo1234!,김소영,042-740-5824
철강,협력사(재활용),리메탈 주식회사,KR,de.ko@remetal.co.kr,Demo1234!,고다은,031-658-8933
철강,협력사(재활용),에코스틸리사이클 주식회사,KR,gm.yeo@ecosteelrc.co.kr,Demo1234!,여경민,031-536-6347
철강,협력사(재활용),한강자원순환 주식회사,KR,yh.gil@hangangrc.co.kr,Demo1234!,길영호,031-342-2608
철강,협력사(재활용),Rijnmond Metal Recovery B.V.,NL,s.bakker@rijnmondmetal.nl,Demo1234!,Sanne Bakker,+31 181 290 330
철강,협력사(재활용),제일해체산업 주식회사,KR,sa.kim@jeildemo.co.kr,Demo1234!,김수아,052-488-1934
배터리,제조사,볼트라인에너지 주식회사,KR,dh.ahn@voltline.co.kr,Demo1234!,안동현,043-716-6505
배터리,제조사,셀코어 주식회사,KR,ys.na@cellcore.co.kr,Demo1234!,나윤서,041-586-4725
배터리,제조사,하이온배터리 주식회사,KR,sj.yeo@haionbattery.co.kr,Demo1234!,여서준,054-816-7491
배터리,제조사,에이펙스셀 주식회사,KR,su.kwon@apexcell.co.kr,Demo1234!,권시우,063-688-1229
배터리,제조사,누리모빌리티에너지 주식회사,KR,gu.joo@nuri-me.co.kr,Demo1234!,주건우,043-721-2555
